,FieldName,DataType,Min,Max,Mean,StdDev,Median,Mode,NumValues,NumNulls,NumUnique,AutoCorr,FFT,Distrib
air_pressure.2,air_pressure.2,float64,100830.0,102680.0,101933.8880952381,487.77256070801764,101830.0,102490.0,421,1,128,0.9994134424880567,inf,{}
air_pressure_qc.2,air_pressure_qc.2,int64,-9,0,-0.021377672209026127,0.43863316094572147,0.0,0,421,0,2,-0.0023866348448687486,1.2529761904761902,"{0: 0.997624703087886, -9: 0.0023752969121140144}"
air_pressure_detail_qc.2,air_pressure_detail_qc.2,object,b'0',b'_',NA,NA,NA,b'0',421,0,2,NA,NA,"{'0': 0.997624703087886, '_': 0.0023752969121140144}"
air_pressure_release.2,air_pressure_release.2,int64,-9,1,0.9762470308788599,0.4873701788285793,1.0,1,421,0,2,-0.0023866348448687404,inf,"{1: 0.997624703087886, -9: 0.0023752969121140144}"
air_temperature.1,air_temperature.1,float64,292.35,294.75,294.02785714285716,0.5471210645339226,294.15,294.15,421,1,25,0.9910107084445096,inf,{}
air_temperature_qc.1,air_temperature_qc.1,int64,-9,0,-0.021377672209026127,0.43863316094572147,0.0,0,421,0,2,-0.0023866348448687486,1.2529761904761902,"{0: 0.997624703087886, -9: 0.0023752969121140144}"
air_temperature_detail_qc.1,air_temperature_detail_qc.1,object,b'0',b'_',NA,NA,NA,b'0',421,0,2,NA,NA,"{'0': 0.997624703087886, '_': 0.0023752969121140144}"
air_temperature_release.1,air_temperature_release.1,int64,-9,1,0.9762470308788599,0.4873701788285793,1.0,1,421,0,2,-0.0023866348448687404,inf,"{1: 0.997624703087886, -9: 0.0023752969121140144}"
dew_point_temperature.1,dew_point_temperature.1,float64,288.4583,293.3853,291.8081971428571,1.0894048880079814,292.1365,292.3408,421,1,325,0.9935255831703468,inf,{}
dew_point_temperature_qc.1,dew_point_temperature_qc.1,int64,-9,0,-0.021377672209026127,0.43863316094572147,0.0,0,421,0,2,-0.0023866348448687486,1.2529761904761902,"{0: 0.997624703087886, -9: 0.0023752969121140144}"
